freq	S(3,3)	S(3,4)	S(4,3)	S(4,4)
1.00000000000000000E8	-0.001133969	-39.97576004	5.472313889	-1.048869043
2.00000000000000000E8	-0.004531741	-33.96083819	5.46700685	-1.053467008
3.00000000000000000E8	-0.010180947	-30.44846029	5.458177877	-1.061114422
4.00000000000000000E8	-0.018061107	-27.96287796	5.44585096	-1.071787638
5.00000000000000000E8	-0.028143819	-26.04158177	5.430059396	-1.08545384
6.00000000000000000E8	-0.040393026	-24.47853009	5.410845508	-1.102071325
7.00000000000000000E8	-0.054765351	-23.16378546	5.388260288	-1.121589853
8.00000000000000000E8	-0.071210494	-22.03169612	5.362362977	-1.143951073
9.00000000000000000E8	-0.089671675	-21.03988637	5.333220586	-1.169089
1.00000000000000000E9	-0.110086141	-20.15939374	5.300907364	-1.196930543
1.10000000000000010E9	-0.132385692	-19.3695324	5.265504227	-1.227396076
1.20000000000000000E9	-0.156497253	-18.65500132	5.227098148	-1.26040005
1.30000000000000000E9	-0.18234346	-18.00415421	5.185781529	-1.295851615
1.39999999999999990E9	-0.209843259	-17.40791274	5.141651551	-1.333655271
1.50000000000000000E9	-0.238912511	-16.85905579	5.094809521	-1.373711523
1.60000000000000010E9	-0.269464596	-16.35173878	5.045360215	-1.415917529
1.70000000000000000E9	-0.301411003	-15.88115916	4.993411235	-1.460167745
1.80000000000000000E9	-0.334661902	-15.44331787	4.939072376	-1.506354558
1.89999999999999990E9	-0.369126703	-15.03484545	4.882455021	-1.554368888
2.00000000000000000E9	-0.404714571	-14.65287305	4.82367155	-1.604100775
2.10000000000000010E9	-0.441334927	-14.29493493	4.762834796	-1.655439922
2.20000000000000020E9	-0.478897901	-13.95889382	4.700057522	-1.708276218
2.29999999999999980E9	-0.517314754	-13.64288302	4.635451942	-1.762500211
2.39999999999999990E9	-0.556498262	-13.34526076	4.569129279	-1.818003551
2.50000000000000000E9	-0.596363055	-13.06457406	4.50119936	-1.874679389
2.60000000000000010E9	-0.63682592	-12.79952965	4.431770261	-1.932422734
2.70000000000000020E9	-0.677806068	-12.54897041	4.360947977	-1.991130776
2.79999999999999980E9	-0.719225352	-12.3118562	4.288836147	-2.050703163
2.89999999999999990E9	-0.761008463	-12.08724792	4.215535808	-2.111042239
3.00000000000000000E9	-0.803083073	-11.8742944	4.141145187	-2.172053254
3.10000000000000010E9	-0.845379963	-11.67222143	4.06575953	-2.233644529
3.20000000000000020E9	-0.887833103	-11.48032242	3.989470966	-2.295727591
3.29999999999999980E9	-0.930379715	-11.29795063	3.912368395	-2.358217282
3.39999999999999990E9	-0.972960306	-11.12451245	3.834537411	-2.421031832
3.50000000000000000E9	-1.015518673	-10.95946168	3.756060246	-2.484092912
3.60000000000000010E9	-1.058001894	-10.80229461	3.677015745	-2.547325659
3.70000000000000020E9	-1.100360293	-10.65254569	3.59747935	-2.610658683
3.79999999999999980E9	-1.142547395	-10.50978386	3.517523119	-2.674024053
3.89999999999999990E9	-1.184519858	-10.37360927	3.437215744	-2.737357267
4.00000000000000000E9	-1.226237402	-10.24365041	3.356622602	-2.800597208
4.09999999999999960E9	-1.267662721	-10.11956158	3.275805802	-2.863686083
4.20000000000000020E9	-1.308761388	-10.00102065	3.194824256	-2.926569359
4.29999999999999980E9	-1.349501757	-9.887727085	3.113733749	-2.989195683
4.40000000000000040E9	-1.389854852	-9.779400138	3.032587024	-3.051516795
4.50000000000000000E9	-1.429794261	-9.675777265	2.951433871	-3.113487441
4.59999999999999960E9	-1.469296018	-9.576612691	2.870321217	-3.175065274
4.70000000000000020E9	-1.508338493	-9.481676111	2.789293225	-3.236210755
4.79999999999999980E9	-1.546902275	-9.390751524	2.708391391	-3.29688705
4.90000000000000040E9	-1.584970056	-9.303636169	2.627654649	-3.357059927
5.00000000000000000E9	-1.62252652	-9.220139559	2.547119466	-3.416697654
5.09999999999999960E9	-1.659558227	-9.140082604	2.466819952	-3.475770889
5.20000000000000020E9	-1.696053507	-9.063296802	2.386787952	-3.534252578
5.29999999999999980E9	-1.732002351	-8.989623508	2.307053156	-3.592117856
5.40000000000000040E9	-1.767396306	-8.91891326	2.227643189	-3.649343937
5.50000000000000000E9	-1.802228377	-8.851025155	2.148583713	-3.705910025
5.59999999999999960E9	-1.836492926	-8.785826279	2.069898518	-3.761797208
5.70000000000000020E9	-1.870185583	-8.723191185	1.991609619	-3.816988366
5.79999999999999980E9	-1.903303152	-8.663001405	1.91373734	-3.871468081
5.90000000000000040E9	-1.935843527	-8.605145002	1.836300404	-3.925222547
6.00000000000000000E9	-1.967805613	-8.549516153	1.759316015	-3.978239479
6.09999999999999960E9	-1.999189243	-8.496014767	1.682799938	-4.030508039
6.20000000000000020E9	-2.02999511	-8.444546127	1.606766581	-4.082018746
6.29999999999999980E9	-2.060224691	-8.395020558	1.531229064	-4.132763407
6.40000000000000040E9	-2.089880187	-8.347353119	1.456199294	-4.182735038
6.50000000000000000E9	-2.118964456	-8.301463317	1.381688029	-4.231927797
6.59999999999999960E9	-2.147480957	-8.257274841	1.307704952	-4.280336913
6.70000000000000020E9	-2.175433691	-8.21471531	1.234258721	-4.327958626
6.79999999999999980E9	-2.202827155	-8.173716045	1.161357042	-4.374790119
6.90000000000000040E9	-2.229666289	-8.134211851	1.089006714	-4.420829464
7.00000000000000000E9	-2.25595643	-8.096140812	1.01721369	-4.466075567
7.09999999999999960E9	-2.281703275	-8.059444107	0.945983126	-4.510528111
7.20000000000000020E9	-2.306912834	-8.024065829	0.87531943	-4.554187507
7.29999999999999980E9	-2.331591397	-7.989952822	0.805226306	-4.597054846
7.40000000000000040E9	-2.355745501	-7.957054527	0.735706802	-4.639131855
7.50000000000000000E9	-2.379381895	-7.925322832	0.666763349	-4.680420851
7.59999999999999960E9	-2.402507512	-7.894711943	0.598397799	-4.720924702
7.70000000000000020E9	-2.42512944	-7.86517825	0.530611465	-4.760646789
7.79999999999999980E9	-2.447254901	-7.836680212	0.463405154	-4.799590967
7.90000000000000040E9	-2.468891221	-7.809178242	0.396779201	-4.83776153
8.00000000000000000E9	-2.490045814	-7.782634603	0.330733503	-4.875163181
8.09999999999999960E9	-2.51072616	-7.757013307	0.265267543	-4.911801001
8.19999999999999930E9	-2.530939786	-7.732280024	0.200380423	-4.947680414
8.30000000000000070E9	-2.550694251	-7.708401994	0.136070888	-4.982807169
8.40000000000000040E9	-2.56999713	-7.685347943	0.072337352	-5.017187303
8.50000000000000000E9	-2.588856	-7.663088007	0.009177921	-5.050827126
8.59999999999999960E9	-2.607278427	-7.641593657	-0.053409583	-5.083733192
8.69999999999999930E9	-2.625271953	-7.620837633	-0.115427607	-5.115912278
8.80000000000000070E9	-2.642844091	-7.600793877	-0.176878838	-5.147371367
8.90000000000000040E9	-2.660002307	-7.581437472	-0.237766194	-5.178117622
9.00000000000000000E9	-2.67675402	-7.562744584	-0.298092798	-5.208158375
9.09999999999999960E9	-2.693106589	-7.544692411	-0.35786197	-5.237501105
9.19999999999999930E9	-2.709067307	-7.527259127	-0.417077203	-5.266153422
9.30000000000000070E9	-2.724643396	-7.510423835	-0.475742157	-5.294123054
9.40000000000000040E9	-2.739842	-7.494166522	-0.533860636	-5.321417834
9.50000000000000000E9	-2.754670183	-7.478468018	-0.591436586	-5.34804568
9.59999999999999960E9	-2.769134922	-7.463309949	-0.648474072	-5.374014589
9.69999999999999930E9	-2.783243102	-7.448674705	-0.704977274	-5.399332624
9.80000000000000070E9	-2.79700152	-7.434545396	-0.760950476	-5.424007901
9.90000000000000040E9	-2.810416872	-7.420905827	-0.81639805	-5.448048578
1.00000000000000000E10	-2.823495759	-7.407740456	-0.871324454	-5.47146285
1.01000000000000000E10	-2.836244681	-7.395034369	-0.925734218	-5.494258932
1.02000000000000000E10	-2.848670038	-7.382773249	-0.979631939	-5.516445061
1.03000000000000000E10	-2.860778126	-7.370943346	-1.033022272	-5.538029477
1.04000000000000000E10	-2.872575137	-7.359531454	-1.08590992	-5.559020423
1.05000000000000000E10	-2.88406716	-7.348524885	-1.138299634	-5.579426137
1.06000000000000010E10	-2.895260179	-7.337911443	-1.190196198	-5.599254841
1.06999999999999980E10	-2.906160074	-7.327679404	-1.241604431	-5.618514742
1.08000000000000010E10	-2.916772618	-7.317817497	-1.292529175	-5.63721402
1.09000000000000010E10	-2.927103482	-7.308314876	-1.342975296	-5.655360827
1.10000000000000010E10	-2.937158231	-7.29916111	-1.392947672	-5.672963279
1.10999999999999990E10	-2.946942328	-7.290346158	-1.442451194	-5.690029454
1.11999999999999990E10	-2.956461131	-7.281860354	-1.491490761	-5.706567387
1.13000000000000010E10	-2.965719899	-7.273694393	-1.540071271	-5.722585066
1.14000000000000010E10	-2.974723787	-7.265839311	-1.588197625	-5.738090427
1.14999999999999990E10	-2.983477851	-7.258286472	-1.635874719	-5.753091355
1.15999999999999990E10	-2.991987048	-7.251027556	-1.683107439	-5.767595674
1.16999999999999990E10	-3.000256238	-7.244054541	-1.729900663	-5.781611152
1.18000000000000020E10	-3.008290182	-7.237359695	-1.776259254	-5.795145492
1.18999999999999990E10	-3.016093548	-7.230935561	-1.822188059	-5.808206334
1.20000000000000000E10	-3.023670909	-7.224774944	-1.867691908	-5.82080125
1.21000000000000000E10	-3.031026746	-7.218870904	-1.912775609	-5.832937745
1.22000000000000000E10	-3.038165448	-7.213216744	-1.957443948	-5.844623251
1.23000000000000000E10	-3.045091315	-7.207805997	-2.001701685	-5.85586513
1.24000000000000000E10	-3.051808558	-7.20263242	-2.045553554	-5.866670668
1.25000000000000000E10	-3.058321303	-7.197689984	-2.089004262	-5.877047079
1.26000000000000000E10	-3.064633589	-7.192972866	-2.132058484	-5.8870015
1.27000000000000000E10	-3.070749372	-7.188475436	-2.174720867	-5.896540989
1.28000000000000000E10	-3.076672527	-7.184192257	-2.216996024	-5.90567253
1.29000000000000000E10	-3.082406846	-7.18011807	-2.258888533	-5.914403024
1.30000000000000000E10	-3.087956044	-7.176247792	-2.30040294	-5.922739296
1.31000000000000010E10	-3.093323759	-7.172576507	-2.341543753	-5.93068809
1.31999999999999980E10	-3.09851355	-7.169099458	-2.382315447	-5.93825607
1.33000000000000010E10	-3.103528904	-7.165812045	-2.422722455	-5.945449819
1.34000000000000010E10	-3.108373235	-7.162709813	-2.462769177	-5.952275839
1.35000000000000010E10	-3.113049885	-7.159788451	-2.50245997	-5.958740552
1.35999999999999990E10	-3.117562126	-7.157043787	-2.541799154	-5.964850299
1.36999999999999990E10	-3.121913161	-7.154471778	-2.58079101	-5.970611337
1.38000000000000010E10	-3.126106126	-7.152068509	-2.619439777	-5.976029846
1.39000000000000010E10	-3.130144092	-7.149830186	-2.657749653	-5.981111922
1.39999999999999990E10	-3.134030066	-7.147753135	-2.695724799	-5.985863581
1.40999999999999990E10	-3.137766991	-7.145833792	-2.733369329	-5.990290759
1.41999999999999990E10	-3.14135775	-7.144068704	-2.77068732	-5.99439931
